SubsID,error.immigrants.trim,error.asylum.seekers.trim,error.trim,error.immigrants,error.asylum.seekers,error,consp_01,confidence,trust.stat,news.paper,news.social,news.tv,concern.imm,edu.tertiary,lr,age,female,abit,income,dummy.imm.as,country,QG8c_1_T4,QG8d_1_T4,QG16_1_T4,QG16_2_T4,QG16_3_T4,QG16_4_T4,country_cod,int_wt1_cap_T4
EPOKCYB9YJCFB6S4B2,17.2585731235731,NA,17.2585731235731,17.2585731235731,NA,17.2585731235731,0.663010765861004,0,0,0,0.5,0.875,1,1,0.2,28,1,3. Rural zone,NA,1,Portugal,20,NA,2,2,2,2,8,0.629376645
EPOK45GJNG5Z7854B6,NA,3.99170319485018,3.99170319485018,NA,3.99170319485018,3.99170319485018,0.600415527802114,0,1,0.5,0.125,0.75,1,1,0.3,33,0,3. Rural zone,0.272727272727273,0,Portugal,NA,4,2,3,2,2,8,0.805715793
EPOK4GQPB53P6PY4B8,NA,4.99170319485018,4.99170319485018,NA,4.99170319485018,4.99170319485018,0.86007965782293,0,0,0,0.625,1,1,0,0.3,70,0,1. Metropolitan zone,0.090909090909091,0,Portugal,NA,5,2,1,1,2,8,4.764212177
EPOK4BZ45V968PF4B0,-1.74142687642692,NA,-1.74142687642692,-1.74142687642692,NA,-1.74142687642692,0.842820506595407,0,0,0.5,0.125,1,1,1,0.4,54,1,1. Metropolitan zone,0.181818181818182,1,Portugal,1,NA,1,3,1,1,8,0.332931656
EPOK48PSDLVSH3P4B5,-0.74142687642692,NA,-0.74142687642692,-0.74142687642692,NA,-0.74142687642692,0.79748441976404,0,1,0.375,0,1,1,1,0.3,52,0,1. Metropolitan zone,NA,1,Portugal,2,NA,2,2,1,2,8,0.565685881
EPOKGXHVQQP2J684B9,27.2585731235731,NA,27.2585731235731,27.2585731235731,NA,27.2585731235731,0.846956890779251,0,0,0,1,1,1,0,0.3,37,1,2. Other town/urban centre,NA,1,Portugal,30,NA,2,2,1,1,8,0.813965291
EPOKWG8LBJGTV3Q4C3,7.25857312357308,NA,7.25857312357308,7.25857312357308,NA,7.25857312357308,0.846956890779251,1,0,0.5,0,0.5,1,1,0.4,34,0,2. Other town/urban centre,NA,1,Portugal,10,NA,2,2,1,1,8,0.805715793
EPOKFV8RWG6JZD94B5,NA,NA,NA,NA,49.9917031948502,49.9917031948502,0.968010982713188,1,0,1,1,1,1,0,0.5,55,1,2. Other town/urban centre,0.181818181818182,0,Portugal,NA,50,1,1,1,1,8,0.375302879
EPOKLQRP69WH3SJ4C6,NA,0.991703194850179,0.991703194850179,NA,0.991703194850179,0.991703194850179,0.905415744654298,0,1,1,1,1,1,1,0.3,33,1,1. Metropolitan zone,NA,0,Portugal,NA,1,1,2,1,1,8,0.582668984
EPOKD4JPW34WH4W4B4,17.2585731235731,NA,17.2585731235731,17.2585731235731,NA,17.2585731235731,0.663010765861004,0,0,0.125,0.75,0.125,1,0,0.5,36,1,1. Metropolitan zone,0.181818181818182,1,Portugal,20,NA,2,2,2,2,8,0.813965291
